model,processing,prediction
ResNet50,0.033698169559967225,0.037894168604440455
DenseNet121,0.033698169559967225,0.03815144628880312
1D CNN,0.013436714379469852,0.027547516968158037
1D ResNet,0.013436714379469852,0.01880842635947403
XGBoost,1.7176005028336716,0.00022670560257655656
